행정구역별(시군구),2000,2000,2000,2000,2000,2000,2000,2000,2000
행정구역별(시군구),총인구,남자,여자,총내국인,남자,여자,총외국인,남자,여자
전국,46136101,23158582,22977519,45985289,23068181,22917108,150812,90401,60411
서울특별시,9895217,4966993,4928224,9853972,4943550,4910422,41245,23443,17802
부산광역시,3662884,1827062,1835822,3655437,1822539,1832898,7447,4523,2924
대구광역시,2480578,1247562,1233016,2473990,1243681,1230309,6588,3881,2707
인천광역시,2475139,1250383,1224756,2466338,1244327,1222011,8801,6056,2745
광주광역시,1352797,674228,678569,1350948,673166,677782,1849,1062,787
대전광역시,1368207,690600,677607,1365961,689340,676621,2246,1260,986
울산광역시,1014428,522062,492366,1012110,520656,491454,2318,1406,912
경기도,8984134,4538265,4445869,8937752,4507362,4430390,46382,30903,15479
강원도,1487011,747351,739660,1484536,746162,738374,2475,1189,1286
충청북도,1466567,736271,730296,1462621,734196,728425,3946,2075,1871
충청남도,1845321,927824,917497,1840410,924986,915424,4911,2838,2073
전라북도,1890669,936683,953986,1887239,935330,951909,3430,1353,2077
전라남도,1996456,988249,1008207,1994287,987463,1006824,2169,786,1383
경상북도,2724931,1361753,1363178,2716218,1357358,1358860,8713,4395,4318
경상남도,2978502,1488847,1489655,2970929,1484009,1486920,7573,4838,2735
제주도,513260,254449,258811,512541,254056,258485,719,393,326